ID,Channel,Content Length,Content
558432421788254218,debates,19,It was a pellet gun
558432444278112261,debates,31,That could cause serious damage
558432517741346826,debates,65,A pellet to the head in the right place can cause a lot of damage
558434304686817283,debates,88,if china wasn't so important to the economy they would be considered a 3rd world country
558434448077619210,debates,73,Hong Kong being handed over to china was the worst deal in modern history
558434617594609704,debates,68,Britian should've handed control to the ROCNLI mean it is """China"""
558434688239140884,debates,15,hense the """""
558434900751941643,debates,46,wasn't taiwan a one party state until the 90s?
558434954338631691,debates,25,because a bogus emergency
558435224292163584,debates,43,YeaNLIs there bad internet censorship there?
558435797725085696,debates,95,Internet cafes were a thing when there was less access to high speed internet at home in the US
558446287499034654,debates,104,The British army was very much an influenceNLEspecially the colonial armies (Canada_ Aus_ NZ_ india_ etc)
558446684087255057,debates,71,Himmler: Someone so evil that Hitler told him he was fucked in the head
558446941449486337,debates,112,Germany would have had a internal conflict if they wonNLWould have fractured the government and helped resistance
558447112069578752,debates,20,Warsaw Ghetto Revolt
558447366441533440,debates,46,Thugs with guns are good at stifling rebellion
558455732756938773,debates,24,This Nilla's eatin beans
558457963069833226,debates,92,Vice_ the Verge_ and Vox have a clear left biasNLAs a liberal I think they give us a bad name
558466928667262990,debates,12,it's a toast
560629094937657344,general,41,Ey my r/dankmemes post is about to hit 1k
560629191989526568,general,12,Kirby is Gay
560629298608734210,general,43,Seth Mcfarlane confirm Peter Griffin is Gay
560981778555469834,music,27,!play Sandy I wanna go home
560981836906496000,music,5,!skip
560981884461645856,music,2,!q
560982127445934100,music,23,!play Allahu Akbar song
560982212808278051,music,35,!play I hate myself and want to die
560982264146821142,music,5,!skip
560982452542373888,music,14,This is v long
560982525577789440,music,19,it's worth a listen
